"estimacion_id","descripcion","precio"
18511,"Via de Guardafango LH",0.00
18511,"Moldura de guardafango cromada LH",0.00
18511,"Seguros de lodera del. LH (4)",350.00
18508,"cacho tras LH",0.00
18508,"Bomper trasero inf",0.00
18508,"Reflector LH",0.00
18508,"Fender tras LH",0.00
18508,"Guia de bomper trasero Lh",0.00
18508,"Moldura de compuerta trasera",0.00
18508,"Lodera de bomper trasero LH",0.00
18508,"Stop LH",0.00
18506,"Foco rh",0.00
18504,"Puerta Del/Tras RH",0.00
18504,"Tono",0.00
18503,"Pito RH",0.00
18503,"Foco RH",0.00
18503,"Bomper frontal",0.00
18503,"Extencion RH de  bomper frontal",0.00
18503,"Halogena RH",0.00
18503,"Guia RH de Bomper frontal",0.00
18503,"Seguros de fender del. RH",0.00
18503,"Tolva de guardafango Rh",0.00
18503,"Canister",0.00
18503,"Moldura Inf. RH de Bomper frontal",0.00
18503,"Rejilla de Bomper frontal",0.00
18503,"seguros de bomper frontal   10",0.00
18503,"Seguros de tolva de guardafango rh  12",0.00
18503,"Sujetador de canister",0.00
18502,"Retrovisor RH",28000.00
18501,"Puerta Del. Rh",0.00
18501,"Empaque de contorno de  puerta trasero RH",0.00
18500,"Polarizado de Vidrio Frontal",1304.35
18499,"Rejilla  inferior de  bomper frontal",0.00
18499,"Marco montaje frontal",0.00
18499,"Bomper frontal  inferior",0.00
18499,"Bomper frontal superior",0.00
18499,"Tono",0.00
18499,"Patas de tono   RH y LH",0.00
18499,"Parrilla frontal   original",0.00
18499,"moldura  superior de  parrilla frontal",0.00
18499,"Fender del. RH",0.00
18499,"Tuberia de A/C de alta presion",0.00
18499,"emblema frontal",0.00
18499,"Radiador",0.00
18499,"Condensador",0.00
18499,"evaluacion de  ventiladora de  motor",0.00
18499,"Filtro   de aceite  de motor",0.00
18499,"Carcasa filtro  aceite de  motor",0.00
18499,"aceite  8/4 5w40",0.00
18499,"Tolva de  guardafangos RH/LH",0.00
18499,"Base de  porta placa  forntal",0.00
18499,"Compresor",0.00
18498,"Evaluacion de guia de bomper trasero RH/LH",0.00
18497,"Stop Trasero RH equivalente",800.00
18494,"Puerta tras RH equivalente",7500.00
